city,lat,lng,max temperature,humidity,cloudiness,wind speed,country,date
seydi,13.33933,7.7492057,84.45,49.0,24.0,8.12,NG,1659133569.0
vasteras,59.6110992,16.5463679,57.94,76.0,75.0,0.0,SE,1659133570.0
la crosse,43.8014053,-91.2395429,78.91,56.0,6.0,1.01,US,1659133312.0
oktyabrskiy,55.6086034,37.9743705,63.48,72.0,0.0,0.0,RU,1659133571.0
mosquera,2.5073167,-78.4532072,80.08,79.0,86.0,9.17,CO,1659133571.0
zeya,53.7403584,127.2716246,68.85,91.0,25.0,0.69,RU,1659133572.0
puerto lopez,4.0891674,-72.96059024775572,80.42,85.0,58.0,1.74,CO,1659133572.0
faanui,-16.48243875,-151.73383197031578,78.26,70.0,17.0,25.1,PF,1659133572.0
longyearbyen,78.2231558,15.6463656,48.47,81.0,75.0,2.3,SJ,1659133573.0
perpignan,42.6985304,2.8953121,77.0,58.0,0.0,14.97,FR,1659133573.0
bonfim,3.3613818,-59.8427241,76.1,90.0,97.0,3.2,GY,1659133574.0
stornoway,58.20842,-6.3881077,58.93,97.0,100.0,17.27,GB,1659133574.0
katobu,-4.9408066,122.5275567,73.38,88.0,98.0,3.29,ID,1659133575.0
tarko-sale,64.9219991,77.779459,62.17,75.0,23.0,7.9,RU,1659133575.0
shelburne,44.3783486,-73.2276183,83.08,47.0,20.0,13.8,US,1659133576.0
uwayl,8.7693352,27.3962085,71.28,87.0,64.0,4.61,SS,1659133576.0
kruisfontein,-34.0119558,24.7433295,54.46,76.0,98.0,16.69,ZA,1659133576.0
boende,-0.2836634,20.8826368,71.76,90.0,91.0,2.42,CD,1659133577.0
sorland,67.6660386,12.69192,53.46,88.0,22.0,8.3,NO,1659133578.0
wajima,37.3905644,136.8994281,81.25,81.0,1.0,3.06,JP,1659133578.0
nogliki,51.7953617,143.1365077,62.64,96.0,100.0,5.59,RU,1659133578.0
jacmel,18.2352587,-72.5375127,87.82,65.0,18.0,5.84,HT,1659133579.0
twentynine palms,34.1356915,-116.0543506,100.2,30.0,61.0,5.99,US,1659133471.0
lompoc,34.6391501,-120.4579409,77.85,70.0,0.0,14.97,US,1659133580.0
guerrero negro,27.9709506,-114.036389,79.86,52.0,85.0,13.42,MX,1659133580.0
cidreira,-30.1657063,-50.218331,54.32,73.0,93.0,13.87,BR,1659133581.0
hasaki,35.7529706,140.8201321,82.8,85.0,2.0,4.88,JP,1659133582.0
tsihombe,-25.318547,45.484057,66.24,89.0,33.0,8.95,MG,1659133582.0
grojec,50.086162,19.5662438,67.17,88.0,0.0,5.75,PL,1659133583.0
bhatkal,13.9873619,74.5544089,80.35,93.0,99.0,7.85,IN,1659133583.0
dakar,14.693425,-17.447938,83.28,78.0,40.0,18.41,SN,1659133583.0
constitucion,-35.3318306,-72.4118998,52.63,76.0,82.0,8.14,CL,1659133584.0
imeni poliny osipenko,52.422848,136.48938,69.58,99.0,100.0,4.38,RU,1659133584.0
narsaq,60.9127453,-46.0452698,61.05,71.0,87.0,4.34,GL,1659133585.0
todos santos,23.450067,-110.225374,94.3,61.0,45.0,6.91,MX,1659133585.0
karaul,58.2762328,48.306824,61.97,73.0,74.0,5.64,RU,1659133586.0
henties bay,-22.1130313,14.2881683522115,54.01,86.0,47.0,9.89,NA,1659133586.0
viedma,-40.8084274,-62.994722,54.81,39.0,0.0,5.77,AR,1659133587.0
port hardy,50.7244402,-127.4976081,67.98,73.0,0.0,8.05,CA,1659133587.0
scarborough,54.2820009,-0.4011868,58.96,82.0,73.0,15.01,GB,1659133588.0
te anau,-45.41449,167.717489,37.74,89.0,98.0,1.01,NZ,1659133588.0
saskylakh,71.9649533,114.0939433,62.67,67.0,70.0,3.65,RU,1659133588.0
findlay,41.0413873,-83.6503982,80.74,44.0,0.0,10.36,US,1659133589.0
fougamou,-1.2164737,10.591374,72.27,82.0,47.0,2.73,GA,1659133589.0
kaitangata,-46.2817388,169.8464139,38.62,78.0,69.0,4.07,NZ,1659133590.0
bredasdorp,-34.533055,20.042778,51.4,67.0,96.0,6.29,ZA,1659133590.0
sale,44.980656,8.809348,69.93,89.0,44.0,3.31,IT,1659133591.0
dongsheng,39.822062,109.9576815,67.48,59.0,70.0,20.51,CN,1659133591.0
